ds,holiday,lower_window,upper_window
2010-11-25,Thanksgiving,0,1
2010-12-25,Christmas Day,1,0
2011-01-01,New Year's Day,1,0
2011-05-30,Memorial Day,0,0
2011-07-04,Independence Day,0,0
2011-09-05,Labor Day,0,0
2011-11-24,Thanksgiving,0,1
2011-12-25,Christmas Day,1,0
2012-01-01,New Year's Day,1,0
2012-05-28,Memorial Day,0,0
2012-07-04,Independence Day,0,0
2012-09-03,Labor Day,0,0
2012-11-22,Thanksgiving,0,1
2012-12-25,Christmas Day,1,0
2013-01-01,New Year's Day,1,0
2013-05-27,Memorial Day,0,0
2013-07-04,Independence Day,0,0
2013-09-02,Labor Day,0,0
2013-11-28,Thanksgiving,0,1
2013-12-25,Christmas Day,1,0
2014-01-01,New Year's Day,1,0
2014-05-26,Memorial Day,0,0
2014-07-04,Independence Day,0,0
2014-09-01,Labor Day,0,0
2014-11-27,Thanksgiving,0,1
2014-12-25,Christmas Day,1,0
2015-01-01,New Year's Day,1,0
2015-05-25,Memorial Day,0,0
2015-07-04,Independence Day,0,0
2015-09-07,Labor Day,0,0
2015-11-26,Thanksgiving,0,1
2015-12-25,Christmas Day,1,0
2016-01-01,New Year's Day,1,0
2016-05-30,Memorial Day,0,0
2016-07-04,Independence Day,0,0
2016-09-05,Labor Day,0,0
2016-11-24,Thanksgiving,0,1
2016-12-25,Christmas Day,1,0
2017-01-01,New Year's Day,1,0
2017-05-29,Memorial Day,0,0
2017-07-04,Independence Day,0,0
2017-09-04,Labor Day,0,0
2017-11-23,Thanksgiving,0,1
2017-12-25,Christmas Day,1,0
